ID,Класс,Пол,Уровень тревожности (1-10),Пропуски занятий,Оценка отношений с учителями (1-5),Возраст,Предмет_1,Оценка_1,Предмет_2,Оценка_2,Предмет_3,Оценка_3,Предмет_4,Оценка_4,Предмет_5,Оценка_5,Предмет_6,Оценка_6,Предмет_7,Оценка_7,Предмет_8,Оценка_8,Предмет_9,Оценка_9,Предмет_10,Оценка_10,Предмет_11,Оценка_11,Предмет_12,Оценка_12,Предмет_13,Оценка_13,Предмет_14,Оценка_14,Предмет_15,Оценка_15,Предмет_16,Оценка_16,Когнитивные способности,Результаты анкет,Средний балл,Диагностика профиля способностей и достижений,Сильные стороны,Слабые стороны
15,7,Ж,9,1,5,15,Русский язык,5,Литература,4,Иностранный язык,2,Алгебра,5,Геометрия,4,Информатика,5,История России,3,Всеобщая история,4,Обществознание,3,География,5,Физика,3,Музыка,4,Биология,4,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,2,53,3,3.8666666666666667,Выше среднего,"Русский язык, Алгебра, Информатика, География, Технология","Иностранный язык, Физическая культура"
16,7,М,1,1,3,14,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,4,История России,4,Всеобщая история,4,Обществознание,2,География,5,Физика,3,Музыка,4,Биология,2,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,3,96,1,3.533333333333333,Выше среднего,"Иностранный язык, География","Обществознание, Биология, Технология"
17,7,М,5,1,5,14,Русский язык,5,Литература,4,Иностранный язык,3,Алгебра,2,Геометрия,3,Информатика,3,История России,4,Всеобщая история,3,Обществознание,3,География,3,Физика,4,Музыка,5,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,4,79,4,3.466666666666667,Нуждается в улучшении,"Русский язык, Биология","Алгебра, Технология"
18,7,Ж,8,3,2,14,Русский язык,2,Литература,2,Иностранный язык,3,Алгебра,3,Геометрия,4,Информатика,3,История России,3,Всеобщая история,5,Обществознание,4,География,5,Физика,4,Музыка,3,Биология,3,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,4,88,3,3.533333333333333,Выше среднего,"Всеобщая история, География","Русский язык, Литература"
19,7,М,2,5,3,15,Русский язык,2,Литература,4,Иностранный язык,3,Алгебра,5,Геометрия,3,Информатика,4,История России,5,Всеобщая история,4,Обществознание,4,География,5,Физика,2,Музыка,3,Биология,4,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,5,63,2,3.8666666666666667,Выше среднего,"Алгебра, История России, География, Основы безопасности жизнедеятельности, Физическая культура","Русский язык, Физика"
20,7,М,4,0,5,15,Русский язык,3,Литература,3,Иностранный язык,3,Алгебра,3,Геометрия,3,Информатика,3,История России,2,Всеобщая история,5,Обществознание,2,География,3,Физика,5,Музыка,5,Биология,3,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,3,97,4,3.066666666666667,Нуждается в улучшении,"Всеобщая история, Физика","История России, Обществознание, Технология"
21,7,Ж,7,3,3,15,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,5,Информатика,3,История России,4,Всеобщая история,3,Обществознание,5,География,3,Физика,4,Музыка,3,Биология,2,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,76,4,3.6666666666666665,Выше среднего,"Иностранный язык, Геометрия, Обществознание",Биология
22,7,Ж,3,1,3,14,Русский язык,3,Литература,3,Иностранный язык,5,Алгебра,5,Геометрия,4,Информатика,2,История России,4,Всеобщая история,4,Обществознание,4,География,5,Физика,4,Музыка,5,Биология,5,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,3,62,1,3.933333333333333,Выше среднего,"Иностранный язык, Алгебра, География, Биология, Основы безопасности жизнедеятельности",Информатика
23,7,М,5,4,5,15,Русский язык,3,Литература,5,Иностранный язык,5,Алгебра,5,Геометрия,2,Информатика,2,История России,3,Всеобщая история,5,Обществознание,4,География,4,Физика,5,Музыка,4,Биология,3,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,69,2,3.7333333333333334,Выше среднего,"Литература, Иностранный язык, Алгебра, Всеобщая история, Физика","Геометрия, Информатика"
24,7,Ж,8,2,5,14,Русский язык,3,Литература,4,Иностранный язык,3,Алгебра,2,Геометрия,5,Информатика,3,История России,3,Всеобщая история,4,Обществознание,5,География,3,Физика,2,Музыка,4,Биология,5,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,2,98,5,3.466666666666667,Нуждается в улучшении,"Геометрия, Обществознание, Биология, Технология","Алгебра, Физика, Физическая культура"
25,7,М,10,3,1,14,Русский язык,4,Литература,4,Иностранный язык,4,Алгебра,4,Геометрия,2,Информатика,4,История России,4,Всеобщая история,3,Обществознание,3,География,4,Физика,5,Музыка,2,Биология,4,Технология,3,Основы безопасности жизнедеятельности,4,Физическая культура,2,98,4,3.6,Выше среднего,Физика,"Геометрия, Физическая культура"
26,7,Ж,3,3,3,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,3,Геометрия,3,Информатика,2,История России,5,Всеобщая история,5,Обществознание,5,География,4,Физика,3,Музыка,5,Биология,5,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,3,73,1,3.933333333333333,Выше среднего,"Русский язык, Литература, История России, Всеобщая история, Обществознание, Биология",Информатика
27,7,М,4,0,4,14,Русский язык,4,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,3,История России,2,Всеобщая история,4,Обществознание,4,География,4,Физика,4,Музыка,2,Биология,5,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,3,59,4,3.6,Выше среднего,"Иностранный язык, Биология","История России, Технология"
28,7,Ж,9,0,3,14,Русский язык,2,Литература,2,Иностранный язык,4,Алгебра,4,Геометрия,2,Информатика,4,История России,3,Всеобщая история,5,Обществознание,4,География,4,Физика,5,Музыка,3,Биология,3,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,4,56,2,3.7333333333333334,Выше среднего,"Всеобщая история, Физика, Технология, Основы безопасности жизнедеятельности","Русский язык, Литература, Геометрия"
29,7,М,7,3,3,14,Русский язык,4,Литература,2,Иностранный язык,3,Алгебра,3,Геометрия,4,Информатика,5,История России,5,Всеобщая история,2,Обществознание,3,География,4,Физика,4,Музыка,4,Биология,5,Технология,3,Основы безопасности жизнедеятельности,2,Физическая культура,4,66,2,3.533333333333333,Выше среднего,"Информатика, История России, Биология","Литература, Всеобщая история, Основы безопасности жизнедеятельности"
30,7,М,1,1,5,15,Русский язык,4,Литература,4,Иностранный язык,3,Алгебра,4,Геометрия,4,Информатика,3,История России,2,Всеобщая история,4,Обществознание,3,География,4,Физика,2,Музыка,4,Биология,2,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,71,3,3.2666666666666666,Нуждается в улучшении,,"История России, Физика, Биология"
31,7,М,4,2,3,14,Русский язык,4,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,4,Информатика,4,История России,4,Всеобщая история,5,Обществознание,4,География,5,Физика,2,Музыка,5,Биология,4,Технология,2,Основы безопасности жизнедеятельности,2,Физическая культура,2,93,5,3.466666666666667,Нуждается в улучшении,"Всеобщая история, География","Физика, Технология, Основы безопасности жизнедеятельности, Физическая культура"
32,7,Ж,4,0,3,15,Русский язык,3,Литература,4,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,5,История России,4,Всеобщая история,4,Обществознание,3,География,5,Физика,3,Музыка,2,Биология,4,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,3,60,5,3.8,Выше среднего,"Информатика, География, Основы безопасности жизнедеятельности",
33,7,М,9,1,4,14,Русский язык,4,Литература,3,Иностранный язык,5,Алгебра,4,Геометрия,3,Информатика,5,История России,3,Всеобщая история,3,Обществознание,3,География,4,Физика,5,Музыка,4,Биология,4,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,2,91,1,3.7333333333333334,Выше среднего,"Иностранный язык, Информатика, Физика, Технология",Физическая культура
34,7,М,6,4,5,15,Русский язык,5,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,3,Информатика,5,История России,4,Всеобщая история,2,Обществознание,5,География,5,Физика,3,Музыка,4,Биология,3,Технология,3,Основы безопасности жизнедеятельности,5,Физическая культура,2,72,5,3.6666666666666665,Выше среднего,"Русский язык, Информатика, Обществознание, География, Основы безопасности жизнедеятельности","Всеобщая история, Физическая культура"
35,7,Ж,9,0,3,15,Русский язык,2,Литература,4,Иностранный язык,2,Алгебра,3,Геометрия,5,Информатика,4,История России,5,Всеобщая история,3,Обществознание,4,География,5,Физика,3,Музыка,3,Биология,4,Технология,5,Основы безопасности жизнедеятельности,2,Физическая культура,2,71,2,3.533333333333333,Выше среднего,"Геометрия, История России, География, Технология","Русский язык, Иностранный язык, Основы безопасности жизнедеятельности, Физическая культура"
36,7,Ж,6,1,2,15,Русский язык,3,Литература,5,Иностранный язык,2,Алгебра,2,Геометрия,2,Информатика,3,История России,4,Всеобщая история,3,Обществознание,5,География,3,Физика,5,Музыка,4,Биология,5,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,3,89,5,3.533333333333333,Выше среднего,"Литература, Обществознание, Физика, Биология, Технология","Иностранный язык, Алгебра, Геометрия"
37,7,М,6,1,1,15,Русский язык,3,Литература,4,Иностранный язык,5,Алгебра,4,Геометрия,3,Информатика,4,История России,4,Всеобщая история,4,Обществознание,4,География,5,Физика,2,Музыка,3,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,5,96,1,3.8666666666666667,Выше среднего,"Иностранный язык, География, Биология, Физическая культура","Физика, Технология"
38,7,М,5,2,4,14,Русский язык,4,Литература,5,Иностранный язык,3,Алгебра,5,Геометрия,5,Информатика,4,История России,4,Всеобщая история,3,Обществознание,4,География,2,Физика,5,Музыка,4,Биология,4,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,67,4,3.8666666666666667,Выше среднего,"Литература, Алгебра, Геометрия, Физика",География
39,7,Ж,5,2,3,14,Русский язык,3,Литература,5,Иностранный язык,3,Алгебра,4,Геометрия,5,Информатика,3,История России,4,Всеобщая история,2,Обществознание,5,География,3,Физика,3,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,4,94,5,3.6666666666666665,Выше среднего,"Литература, Геометрия, Обществознание, Технология",Всеобщая история
40,7,Ж,2,4,2,14,Русский язык,3,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,5,Информатика,4,История России,2,Всеобщая история,3,Обществознание,5,География,4,Физика,2,Музыка,4,Биология,5,Технология,2,Основы безопасности жизнедеятельности,4,Физическая культура,4,75,5,3.533333333333333,Выше среднего,"Геометрия, Обществознание, Биология","История России, Физика, Технология"
41,7,Ж,8,1,3,14,Русский язык,3,Литература,3,Иностранный язык,4,Алгебра,3,Геометрия,5,Информатика,4,История России,4,Всеобщая история,4,Обществознание,3,География,4,Физика,2,Музыка,5,Биология,5,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,5,97,2,3.8,Выше среднего,"Геометрия, Биология, Технология, Физическая культура",Физика
42,7,Ж,8,5,3,15,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,5,История России,3,Всеобщая история,4,Обществознание,5,География,4,Физика,5,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,3,79,2,4.2,Выше среднего,"Русский язык, Литература, Информатика, Обществознание, Физика, Технология, Основы безопасности жизнедеятельности",
43,7,Ж,1,1,5,15,Русский язык,4,Литература,5,Иностранный язык,4,Алгебра,3,Геометрия,3,Информатика,3,История России,3,Всеобщая история,4,Обществознание,3,География,5,Физика,4,Музыка,4,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,3,62,4,3.6666666666666665,Выше среднего,"Литература, География, Технология",
44,7,М,8,2,5,15,Русский язык,4,Литература,4,Иностранный язык,3,Алгебра,5,Геометрия,2,Информатика,3,История России,5,Всеобщая история,5,Обществознание,2,География,3,Физика,3,Музыка,5,Биология,5,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,5,53,3,3.8,Выше среднего,"Алгебра, История России, Всеобщая история, Биология, Физическая культура","Геометрия, Обществознание"
45,7,Ж,5,5,5,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,4,История России,5,Всеобщая история,3,Обществознание,4,География,5,Физика,4,Музыка,3,Биология,5,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,5,92,5,4.4,Выше среднего,"Русский язык, Литература, История России, География, Биология, Технология, Основы безопасности жизнедеятельности, Физическая культура",
46,7,М,2,0,2,15,Русский язык,2,Литература,2,Иностранный язык,2,Алгебра,3,Геометрия,4,Информатика,2,История России,5,Всеобщая история,4,Обществознание,5,География,3,Физика,4,Музыка,5,Биология,2,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,5,76,2,3.3333333333333335,Нуждается в улучшении,"История России, Обществознание, Физическая культура","Русский язык, Литература, Иностранный язык, Информатика, Биология"
47,7,М,2,0,3,14,Русский язык,5,Литература,3,Иностранный язык,2,Алгебра,4,Геометрия,3,Информатика,4,История России,3,Всеобщая история,3,Обществознание,5,География,5,Физика,3,Музыка,3,Биология,5,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,89,3,3.6666666666666665,Выше среднего,"Русский язык, Обществознание, География, Биология",Иностранный язык
48,7,М,6,3,1,15,Русский язык,4,Литература,4,Иностранный язык,4,Алгебра,5,Геометрия,4,Информатика,2,История России,5,Всеобщая история,2,Обществознание,2,География,3,Физика,4,Музыка,5,Биология,4,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,4,59,5,3.466666666666667,Нуждается в улучшении,"Алгебра, История России","Информатика, Всеобщая история, Обществознание, Технология"
49,7,Ж,9,2,4,15,Русский язык,3,Литература,4,Иностранный язык,3,Алгебра,3,Геометрия,2,Информатика,4,История России,4,Всеобщая история,4,Обществознание,5,География,4,Физика,3,Музыка,4,Биология,5,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,4,93,5,3.8666666666666667,Выше среднего,"Обществознание, Биология, Технология, Основы безопасности жизнедеятельности",Геометрия
50,7,М,1,3,5,15,Русский язык,5,Литература,2,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,4,История России,5,Всеобщая история,5,Обществознание,5,География,4,Физика,2,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,4,77,3,3.933333333333333,Выше среднего,"Русский язык, История России, Всеобщая история, Обществознание, Технология","Литература, Физика"
51,7,М,6,5,5,15,Русский язык,5,Литература,3,Иностранный язык,2,Алгебра,4,Геометрия,4,Информатика,2,История России,5,Всеобщая история,2,Обществознание,3,География,4,Физика,4,Музыка,5,Биология,4,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,3,70,2,3.533333333333333,Выше среднего,"Русский язык, История России","Иностранный язык, Информатика, Всеобщая история"
52,7,Ж,9,2,3,15,Русский язык,5,Литература,2,Иностранный язык,2,Алгебра,5,Геометрия,3,Информатика,3,История России,5,Всеобщая история,2,Обществознание,4,География,3,Физика,3,Музыка,4,Биология,3,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,5,60,4,3.466666666666667,Нуждается в улучшении,"Русский язык, Алгебра, История России, Физическая культура","Литература, Иностранный язык, Всеобщая история"
53,7,М,8,4,3,14,Русский язык,2,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,3,История России,5,Всеобщая история,4,Обществознание,4,География,3,Физика,5,Музыка,4,Биология,5,Технология,3,Основы безопасности жизнедеятельности,2,Физическая культура,5,69,5,3.8,Выше среднего,"Иностранный язык, История России, Физика, Биология, Физическая культура","Русский язык, Основы безопасности жизнедеятельности"
54,7,М,6,1,2,15,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,4,Геометрия,5,Информатика,3,История России,2,Всеобщая история,4,Обществознание,3,География,2,Физика,2,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,4,85,1,3.6666666666666665,Выше среднего,"Русский язык, Литература, Геометрия, Технология","История России, География, Физика"
55,7,Ж,3,4,2,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,5,Геометрия,5,Информатика,4,История России,4,Всеобщая история,3,Обществознание,5,География,4,Физика,5,Музыка,3,Биология,5,Технология,2,Основы безопасности жизнедеятельности,5,Физическая культура,3,68,1,4.266666666666667,Выше среднего,"Русский язык, Литература, Алгебра, Геометрия, Обществознание, Физика, Биология, Основы безопасности жизнедеятельности",Технология
56,7,М,8,5,5,14,Русский язык,3,Литература,4,Иностранный язык,5,Алгебра,5,Геометрия,3,Информатика,4,История России,3,Всеобщая история,4,Обществознание,3,География,5,Физика,3,Музыка,2,Биология,2,Технология,4,Основы безопасности жизнедеятельности,2,Физическая культура,4,59,1,3.6,Выше среднего,"Иностранный язык, Алгебра, География","Биология, Основы безопасности жизнедеятельности"
57,7,М,9,2,3,14,Русский язык,2,Литература,4,Иностранный язык,4,Алгебра,4,Геометрия,5,Информатика,3,История России,4,Всеобщая история,5,Обществознание,3,География,2,Физика,5,Музыка,3,Биология,5,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,3,64,4,3.933333333333333,Выше среднего,"Геометрия, Всеобщая история, Физика, Биология, Технология, Основы безопасности жизнедеятельности","Русский язык, География"
58,7,М,1,5,1,14,Русский язык,3,Литература,4,Иностранный язык,5,Алгебра,5,Геометрия,2,Информатика,4,История России,5,Всеобщая история,3,Обществознание,3,География,4,Физика,2,Музыка,4,Биология,4,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,5,94,5,3.6,Выше среднего,"Иностранный язык, Алгебра, История России, Физическая культура","Геометрия, Физика, Технология"
59,7,Ж,9,1,4,14,Русский язык,5,Литература,2,Иностранный язык,4,Алгебра,4,Геометрия,4,Информатика,2,История России,2,Всеобщая история,3,Обществознание,4,География,5,Физика,5,Музыка,3,Биология,2,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,4,94,2,3.7333333333333334,Выше среднего,"Русский язык, География, Физика, Технология, Основы безопасности жизнедеятельности","Литература, Информатика, История России, Биология"
60,7,Ж,6,0,3,14,Русский язык,4,Литература,3,Иностранный язык,3,Алгебра,3,Геометрия,2,Информатика,5,История России,4,Всеобщая история,3,Обществознание,4,География,3,Физика,2,Музыка,3,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,2,67,2,3.2666666666666666,Нуждается в улучшении,"Информатика, Технология","Геометрия, Физика, Физическая культура"
61,7,Ж,6,0,3,14,Русский язык,3,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,3,Информатика,2,История России,4,Всеобщая история,4,Обществознание,3,География,3,Физика,5,Музыка,2,Биология,3,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,4,56,4,3.533333333333333,Выше среднего,"Физика, Технология",Информатика
62,7,М,4,5,2,14,Русский язык,3,Литература,5,Иностранный язык,4,Алгебра,2,Геометрия,5,Информатика,5,История России,3,Всеобщая история,3,Обществознание,4,География,3,Физика,4,Музыка,3,Биология,5,Технология,4,Основы безопасности жизнедеятельности,5,Физическая культура,5,79,5,4.0,Выше среднего,"Литература, Геометрия, Информатика, Биология, Основы безопасности жизнедеятельности, Физическая культура",Алгебра
63,7,М,1,3,4,15,Русский язык,3,Литература,5,Иностранный язык,3,Алгебра,3,Геометрия,3,Информатика,4,История России,3,Всеобщая история,5,Обществознание,3,География,3,Физика,3,Музыка,3,Биология,4,Технология,3,Основы безопасности жизнедеятельности,4,Физическая культура,3,63,3,3.466666666666667,Нуждается в улучшении,"Литература, Всеобщая история",
64,7,Ж,10,2,5,15,Русский язык,4,Литература,4,Иностранный язык,3,Алгебра,4,Геометрия,5,Информатика,4,История России,2,Всеобщая история,4,Обществознание,5,География,2,Физика,3,Музыка,3,Биология,3,Технология,4,Основы безопасности жизнедеятельности,5,Физическая культура,2,86,3,3.6,Выше среднего,"Геометрия, Обществознание, Основы безопасности жизнедеятельности","История России, География, Физическая культура"
65,7,М,8,2,3,14,Русский язык,3,Литература,4,Иностранный язык,3,Алгебра,5,Геометрия,3,Информатика,4,История России,2,Всеобщая история,3,Обществознание,4,География,3,Физика,5,Музыка,3,Биология,3,Технология,3,Основы безопасности жизнедеятельности,3,Физическая культура,4,90,5,3.466666666666667,Нуждается в улучшении,"Алгебра, Физика",История России
