ID,Класс,Пол,Уровень тревожности (1-10),Пропуски занятий,Оценка отношений с учителями (1-5),Возраст,Русский язык,Литература,Иностранный язык,Математика,Алгебра,Геометрия,Информатика,История России,Всеобщая история,Обществознание,География,Физика,Химия,Биология,Музыка,Изобразительное искусство,Технология,Основы безопасности жизнедеятельности,Физическая культура,Когнитивные способности,Результаты анкет,Средний балл,Диагностика профиля способностей и достижений,Сильные стороны,Слабые стороны
11,5,М,4,0,2,12,3,3,4,4,,,5,3,3,5,4,,,3,3,3,3,5,5,73,3,3.8333333333333335,Выше среднего,"Информатика, Обществознание, Основы безопасности жизнедеятельности, Физическая культура",
12,5,М,7,5,2,12,5,2,5,4,,,2,3,3,5,4,,,5,2,4,4,4,5,52,4,3.9166666666666665,Выше среднего,"Русский язык, Иностранный язык, Обществознание, Биология, Физическая культура","Литература, Информатика"
13,5,М,4,2,5,12,2,4,3,2,,,5,2,3,2,4,,,4,5,2,2,3,5,55,2,3.25,Нуждается в улучшении,"Информатика, Физическая культура","Русский язык, История России, Обществознание, Технология"
14,5,М,6,5,1,12,5,2,3,4,,,4,5,3,3,5,,,5,4,2,4,2,3,82,2,3.6666666666666665,Выше среднего,"Русский язык, История России, География, Биология","Литература, Основы безопасности жизнедеятельности"
15,5,Ж,9,4,3,13,4,4,3,4,,,2,4,5,3,3,,,4,5,3,4,5,3,83,5,3.6666666666666665,Выше среднего,"Всеобщая история, Основы безопасности жизнедеятельности",Информатика
16,5,М,1,3,3,12,4,2,5,3,,,5,2,2,4,3,,,4,3,5,3,2,3,82,2,3.25,Нуждается в улучшении,"Иностранный язык, Информатика","Литература, История России, Всеобщая история, Основы безопасности жизнедеятельности"
17,5,Ж,5,5,1,13,3,2,3,2,,,2,5,3,5,4,,,3,4,2,5,5,3,78,1,3.5833333333333335,Выше среднего,"История России, Обществознание, Технология, Основы безопасности жизнедеятельности","Литература, Информатика"
18,5,Ж,7,1,3,13,4,3,3,2,,,4,3,2,5,5,,,4,2,5,5,3,5,72,1,3.8333333333333335,Выше среднего,"Обществознание, География, Технология, Физическая культура",Всеобщая история
19,5,Ж,1,5,4,13,4,5,4,4,,,2,5,3,4,3,,,4,5,3,3,4,3,53,1,3.6666666666666665,Выше среднего,"Литература, История России",Информатика
20,5,М,4,4,5,12,5,4,4,5,,,2,2,2,3,3,,,5,5,2,2,3,5,54,2,3.3333333333333335,Нуждается в улучшении,"Русский язык, Биология, Физическая культура","Информатика, История России, Всеобщая история, Технология"
21,5,Ж,6,3,5,13,3,5,2,3,,,5,2,4,2,3,,,4,5,4,4,5,4,83,3,3.5833333333333335,Выше среднего,"Литература, Информатика, Основы безопасности жизнедеятельности","Иностранный язык, История России, Обществознание"
22,5,М,2,2,1,13,4,2,2,3,,,5,3,3,3,3,,,4,2,5,4,4,3,65,4,3.3333333333333335,Нуждается в улучшении,Информатика,"Литература, Иностранный язык"
23,5,Ж,10,4,3,12,4,5,4,5,,,3,3,3,4,2,,,3,3,4,3,2,4,89,1,3.3333333333333335,Нуждается в улучшении,Литература,"География, Основы безопасности жизнедеятельности"
24,5,Ж,5,3,2,12,2,2,4,3,,,4,5,3,2,4,,,4,3,4,5,3,3,96,1,3.4166666666666665,Нуждается в улучшении,"История России, Технология","Русский язык, Литература, Обществознание"
25,5,Ж,10,5,2,13,3,3,5,2,,,5,4,4,3,3,,,5,3,5,5,3,2,92,1,3.75,Выше среднего,"Иностранный язык, Информатика, Биология, Технология",Физическая культура
26,5,Ж,1,0,3,12,5,4,4,3,,,5,4,3,3,4,,,4,5,5,4,5,5,91,5,4.166666666666667,Выше среднего,"Русский язык, Информатика, Основы безопасности жизнедеятельности, Физическая культура",
27,5,Ж,6,0,2,12,2,3,2,4,,,4,5,2,2,2,,,2,3,2,2,5,4,52,5,2.9166666666666665,Нуждается в улучшении,"История России, Основы безопасности жизнедеятельности","Русский язык, Иностранный язык, Всеобщая история, Обществознание, География, Биология, Технология"
28,5,Ж,6,1,1,12,3,5,4,4,,,5,3,5,3,2,,,3,4,4,4,5,3,92,1,3.75,Выше среднего,"Литература, Информатика, Всеобщая история, Основы безопасности жизнедеятельности",География
29,5,Ж,4,3,1,12,3,2,3,3,,,4,5,3,2,4,,,4,4,5,4,2,5,98,1,3.4166666666666665,Нуждается в улучшении,"История России, Физическая культура","Литература, Обществознание, Основы безопасности жизнедеятельности"
30,5,Ж,8,0,3,13,4,5,2,5,,,4,5,4,5,4,,,4,3,4,5,4,2,91,5,4.0,Выше среднего,"Литература, История России, Обществознание, Технология","Иностранный язык, Физическая культура"
31,5,М,4,2,2,12,2,4,5,4,,,5,3,5,3,3,,,3,3,5,3,5,3,98,4,3.6666666666666665,Выше среднего,"Иностранный язык, Информатика, Всеобщая история, Основы безопасности жизнедеятельности",Русский язык
32,5,М,8,3,1,12,4,4,5,2,,,3,2,3,5,5,,,5,5,4,4,5,2,63,3,3.9166666666666665,Выше среднего,"Иностранный язык, Обществознание, География, Биология, Основы безопасности жизнедеятельности","История России, Физическая культура"
33,5,Ж,8,2,1,12,2,2,3,4,,,3,4,5,2,3,,,3,3,3,3,2,2,82,4,2.8333333333333335,Нуждается в улучшении,Всеобщая история,"Русский язык, Литература, Обществознание, Основы безопасности жизнедеятельности, Физическая культура"
34,5,Ж,5,2,4,13,2,3,3,2,,,3,3,5,5,3,,,2,4,4,4,4,3,77,3,3.3333333333333335,Нуждается в улучшении,"Всеобщая история, Обществознание","Русский язык, Биология"
35,5,Ж,4,0,4,13,4,5,2,4,,,3,5,3,4,4,,,5,3,4,2,4,5,90,2,3.8333333333333335,Выше среднего,"Литература, История России, Биология, Физическая культура","Иностранный язык, Технология"
36,5,М,2,3,1,12,3,3,3,3,,,3,3,5,5,5,,,4,5,5,5,4,5,64,2,4.0,Выше среднего,"Всеобщая история, Обществознание, География, Технология, Физическая культура",
37,5,Ж,3,5,3,12,5,4,4,4,,,4,4,2,5,3,,,5,3,5,4,2,5,53,4,3.9166666666666665,Выше среднего,"Русский язык, Обществознание, Биология, Физическая культура","Всеобщая история, Основы безопасности жизнедеятельности"
38,5,М,3,4,5,13,2,5,3,3,,,4,4,3,4,3,,,3,4,5,5,2,4,69,5,3.5,Нуждается в улучшении,"Литература, Технология","Русский язык, Основы безопасности жизнедеятельности"
39,5,М,4,0,5,12,3,3,5,5,,,3,2,5,5,4,,,2,4,5,3,5,4,74,1,3.6666666666666665,Выше среднего,"Иностранный язык, Всеобщая история, Обществознание, Основы безопасности жизнедеятельности","История России, Биология"
40,5,М,4,0,1,12,2,4,2,3,,,3,3,5,4,3,,,2,2,3,4,3,4,84,2,3.25,Нуждается в улучшении,Всеобщая история,"Русский язык, Иностранный язык, Биология"
41,5,М,10,5,1,13,3,4,4,4,,,3,2,4,4,4,,,2,2,5,5,3,3,88,5,3.4166666666666665,Нуждается в улучшении,Технология,"История России, Биология"
42,5,М,5,3,1,12,5,3,5,3,,,3,4,2,3,3,,,5,5,3,5,5,4,71,5,3.9166666666666665,Выше среднего,"Русский язык, Иностранный язык, Биология, Технология, Основы безопасности жизнедеятельности",Всеобщая история
43,5,Ж,4,3,3,12,5,2,4,5,,,4,5,4,5,5,,,3,2,2,5,4,5,84,3,4.25,Выше среднего,"Русский язык, История России, Обществознание, География, Технология, Физическая культура",Литература
44,5,Ж,10,2,4,13,2,4,2,5,,,2,3,4,5,3,,,5,4,4,2,5,2,96,2,3.25,Нуждается в улучшении,"Обществознание, Биология, Основы безопасности жизнедеятельности","Русский язык, Иностранный язык, Информатика, Технология, Физическая культура"
45,5,Ж,8,5,1,13,4,3,3,3,,,5,5,3,3,5,,,5,4,4,3,2,3,77,4,3.6666666666666665,Выше среднего,"Информатика, История России, География, Биология",Основы безопасности жизнедеятельности
46,5,Ж,6,5,1,12,4,4,3,5,,,3,3,5,4,3,,,4,3,5,2,4,3,59,5,3.5,Нуждается в улучшении,Всеобщая история,Технология
47,5,Ж,6,3,2,13,3,2,5,3,,,5,4,3,5,5,,,5,3,4,3,2,3,65,4,3.75,Выше среднего,"Иностранный язык, Информатика, Обществознание, География, Биология","Литература, Основы безопасности жизнедеятельности"
48,5,М,8,2,3,12,2,5,5,4,,,2,5,3,5,3,,,3,3,5,3,2,4,98,4,3.5,Нуждается в улучшении,"Литература, Иностранный язык, История России, Обществознание","Русский язык, Информатика, Основы безопасности жизнедеятельности"
49,5,Ж,7,0,1,12,5,2,5,4,,,5,3,2,5,3,,,3,4,2,4,2,4,72,2,3.5833333333333335,Выше среднего,"Русский язык, Иностранный язык, Информатика, Обществознание","Литература, Всеобщая история, Основы безопасности жизнедеятельности"
50,5,Ж,10,1,2,12,5,4,5,2,,,4,5,3,3,3,,,4,4,5,5,4,2,68,4,3.9166666666666665,Выше среднего,"Русский язык, Иностранный язык, История России, Технология",Физическая культура
51,5,М,10,4,5,13,5,4,3,5,,,5,4,4,3,5,,,3,5,5,4,4,3,50,4,3.9166666666666665,Выше среднего,"Русский язык, Информатика, География",
52,5,Ж,8,0,1,13,5,2,5,3,,,4,3,3,4,3,,,5,4,4,5,3,4,50,1,3.8333333333333335,Выше среднего,"Русский язык, Иностранный язык, Биология, Технология",Литература
53,5,М,2,3,1,12,4,3,5,3,,,5,5,5,3,3,,,5,5,3,2,2,4,95,4,3.8333333333333335,Выше среднего,"Иностранный язык, Информатика, История России, Всеобщая история, Биология","Технология, Основы безопасности жизнедеятельности"
54,5,Ж,9,4,2,12,3,5,3,5,,,4,2,2,3,3,,,5,2,5,5,4,5,75,1,3.6666666666666665,Выше среднего,"Литература, Биология, Технология, Физическая культура","История России, Всеобщая история"
55,5,М,1,1,3,13,3,5,3,4,,,5,2,3,4,5,,,5,4,4,3,2,3,83,2,3.5833333333333335,Выше среднего,"Литература, Информатика, География, Биология","История России, Основы безопасности жизнедеятельности"
56,5,Ж,8,1,1,13,2,3,4,2,,,5,4,4,3,3,,,4,3,4,4,2,2,51,4,3.3333333333333335,Нуждается в улучшении,Информатика,"Русский язык, Основы безопасности жизнедеятельности, Физическая культура"
57,5,Ж,4,2,5,13,4,3,3,2,,,4,5,2,3,3,,,4,3,4,3,4,3,77,5,3.4166666666666665,Нуждается в улучшении,История России,Всеобщая история
58,5,М,4,4,1,12,5,3,2,4,,,4,5,4,2,5,,,2,4,3,5,3,2,69,4,3.5,Нуждается в улучшении,"Русский язык, История России, География, Технология","Иностранный язык, Обществознание, Биология, Физическая культура"
59,5,М,5,2,5,13,5,2,5,2,,,3,2,5,4,5,,,5,5,2,5,4,3,91,1,4.0,Выше среднего,"Русский язык, Иностранный язык, Всеобщая история, География, Биология, Технология","Литература, История России"
60,5,М,8,0,4,13,5,4,5,5,,,5,5,4,3,3,,,3,3,3,3,4,3,96,5,3.9166666666666665,Выше среднего,"Русский язык, Иностранный язык, Информатика, История России",
61,5,М,5,5,4,12,5,5,3,4,,,4,4,4,3,5,,,5,5,5,2,3,4,76,2,3.9166666666666665,Выше среднего,"Русский язык, Литература, География, Биология",Технология
62,5,М,8,5,5,12,5,3,3,3,,,4,5,5,4,3,,,5,3,4,4,5,3,77,3,4.083333333333333,Выше среднего,"Русский язык, История России, Всеобщая история, Биология, Основы безопасности жизнедеятельности",
63,5,М,10,5,3,12,3,5,5,3,,,2,3,5,2,2,,,3,5,5,4,4,5,80,3,3.5833333333333335,Выше среднего,"Литература, Иностранный язык, Всеобщая история, Физическая культура","Информатика, Обществознание, География"
64,5,М,1,4,1,13,5,2,4,4,,,4,4,3,5,5,,,2,2,4,4,2,3,96,1,3.5833333333333335,Выше среднего,"Русский язык, Обществознание, География","Литература, Биология, Основы безопасности жизнедеятельности"
65,5,М,10,5,1,12,4,4,3,3,,,4,5,4,3,5,,,4,2,5,2,4,2,56,2,3.6666666666666665,Выше среднего,"История России, География","Технология, Физическая культура"
66,5,Ж,9,0,4,12,3,3,4,5,,,4,3,2,5,3,,,5,5,3,5,4,3,57,2,3.6666666666666665,Выше среднего,"Обществознание, Биология, Технология",Всеобщая история
67,5,Ж,6,2,5,12,5,3,5,5,,,3,5,2,4,2,,,5,4,2,3,4,5,81,4,3.8333333333333335,Выше среднего,"Русский язык, Иностранный язык, История России, Биология, Физическая культура","Всеобщая история, География"
68,5,М,3,4,1,12,5,4,5,4,,,3,3,3,5,3,,,4,4,5,3,5,4,60,3,3.9166666666666665,Выше среднего,"Русский язык, Иностранный язык, Обществознание, Основы безопасности жизнедеятельности",
69,5,Ж,8,2,1,13,2,3,3,3,,,3,3,5,3,5,,,5,4,4,3,5,3,97,4,3.5833333333333335,Выше среднего,"Всеобщая история, География, Биология, Основы безопасности жизнедеятельности",Русский язык
70,5,Ж,9,4,3,12,2,4,3,3,,,4,5,4,3,5,,,3,5,4,5,5,2,75,2,3.75,Выше среднего,"История России, География, Технология, Основы безопасности жизнедеятельности","Русский язык, Физическая культура"
71,5,Ж,6,2,2,13,4,4,5,4,,,3,5,3,5,3,,,4,4,3,3,4,4,74,1,3.9166666666666665,Выше среднего,"Иностранный язык, История России, Обществознание",
72,5,Ж,7,1,4,13,4,3,2,4,,,4,3,2,3,5,,,4,4,3,4,4,4,56,1,3.5,Нуждается в улучшении,География,"Иностранный язык, Всеобщая история"
73,5,М,1,2,4,13,5,5,4,4,,,4,2,5,4,3,,,3,5,4,3,2,3,69,5,3.5833333333333335,Выше среднего,"Русский язык, Литература, Всеобщая история","История России, Основы безопасности жизнедеятельности"
74,5,Ж,5,5,2,12,3,3,2,2,,,5,5,3,3,4,,,3,5,4,3,5,4,90,1,3.5833333333333335,Выше среднего,"Информатика, История России, Основы безопасности жизнедеятельности",Иностранный язык
75,5,М,5,1,1,13,2,4,3,5,,,2,5,3,4,2,,,5,3,4,5,2,3,79,3,3.3333333333333335,Нуждается в улучшении,"История России, Биология, Технология","Русский язык, Информатика, География, Основы безопасности жизнедеятельности"
76,5,Ж,10,2,3,12,3,2,3,3,,,2,4,5,5,4,,,5,4,3,2,4,2,50,5,3.4166666666666665,Нуждается в улучшении,"Всеобщая история, Обществознание, Биология","Литература, Информатика, Технология, Физическая культура"
77,5,Ж,4,4,3,12,2,3,3,4,,,4,4,4,5,3,,,4,4,4,5,2,4,67,3,3.5833333333333335,Выше среднего,"Обществознание, Технология","Русский язык, Основы безопасности жизнедеятельности"
78,5,Ж,6,4,4,12,2,3,5,5,,,4,5,3,3,5,,,5,2,2,5,3,5,57,4,4.0,Выше среднего,"Иностранный язык, История России, География, Биология, Технология, Физическая культура",Русский язык
79,5,М,7,4,3,13,5,4,2,4,,,2,3,3,3,3,,,2,4,4,4,2,4,78,4,3.0833333333333335,Нуждается в улучшении,Русский язык,"Иностранный язык, Информатика, Биология, Основы безопасности жизнедеятельности"
80,5,Ж,9,3,2,12,3,4,5,3,,,5,5,5,5,3,,,5,2,4,2,2,3,89,1,3.9166666666666665,Выше среднего,"Иностранный язык, Информатика, История России, Всеобщая история, Обществознание, Биология","Технология, Основы безопасности жизнедеятельности"
81,5,М,1,0,1,12,3,3,5,4,,,4,3,5,5,5,,,2,3,2,5,2,3,71,5,3.75,Выше среднего,"Иностранный язык, Всеобщая история, Обществознание, География, Технология","Биология, Основы безопасности жизнедеятельности"
82,5,Ж,6,4,2,12,2,2,3,2,,,3,4,2,2,3,,,4,5,3,5,3,5,81,3,3.1666666666666665,Нуждается в улучшении,"Технология, Физическая культура","Русский язык, Литература, Всеобщая история, Обществознание"
83,5,М,7,1,5,13,3,3,4,5,,,3,4,3,4,3,,,3,2,2,5,3,3,89,3,3.4166666666666665,Нуждается в улучшении,Технология,
84,5,Ж,3,4,4,13,5,4,3,2,,,5,4,3,3,4,,,5,4,5,5,4,5,63,2,4.166666666666667,Выше среднего,"Русский язык, Информатика, Биология, Технология, Физическая культура",
85,5,М,8,3,3,13,4,4,5,3,,,3,4,4,5,5,,,3,3,4,3,3,4,51,1,3.9166666666666665,Выше среднего,"Иностранный язык, Обществознание, География",
86,5,М,5,5,5,12,5,3,4,2,,,3,5,4,2,3,,,2,4,4,4,4,4,84,4,3.5833333333333335,Выше среднего,"Русский язык, История России","Обществознание, Биология"
87,5,Ж,9,1,3,13,3,2,3,5,,,3,4,3,4,2,,,3,3,4,4,5,3,56,2,3.25,Нуждается в улучшении,Основы безопасности жизнедеятельности,"Литература, География"
88,5,М,5,3,1,12,3,5,3,4,,,4,5,5,4,3,,,2,3,5,3,4,2,52,4,3.5833333333333335,Выше среднего,"Литература, История России, Всеобщая история","Биология, Физическая культура"
89,5,Ж,9,5,1,12,4,2,4,4,,,5,2,4,5,5,,,3,5,4,4,2,4,64,4,3.6666666666666665,Выше среднего,"Информатика, Обществознание, География","Литература, История России, Основы безопасности жизнедеятельности"
90,5,Ж,10,1,1,13,3,2,5,4,,,3,5,4,5,2,,,4,3,3,5,3,5,92,3,3.8333333333333335,Выше среднего,"Иностранный язык, История России, Обществознание, Технология, Физическая культура","Литература, География"
91,5,Ж,4,2,3,12,5,2,2,5,,,3,3,5,3,3,,,3,3,3,4,3,3,83,4,3.25,Нуждается в улучшении,"Русский язык, Всеобщая история","Литература, Иностранный язык"
92,5,Ж,9,0,5,13,3,3,4,2,,,3,2,3,4,4,,,3,3,5,5,5,4,71,5,3.5833333333333335,Выше среднего,"Технология, Основы безопасности жизнедеятельности",История России
93,5,Ж,5,0,1,12,4,4,3,4,,,4,2,3,5,2,,,3,2,3,3,2,4,67,4,3.25,Нуждается в улучшении,Обществознание,"История России, География, Основы безопасности жизнедеятельности"
94,5,Ж,10,3,5,13,2,4,5,4,,,3,4,4,4,3,,,2,3,3,3,4,4,95,5,3.5,Нуждается в улучшении,Иностранный язык,"Русский язык, Биология"
95,5,Ж,9,5,3,12,4,3,2,2,,,5,5,5,4,5,,,4,2,5,3,2,4,67,4,3.8333333333333335,Выше среднего,"Информатика, История России, Всеобщая история, География","Иностранный язык, Основы безопасности жизнедеятельности"
96,5,Ж,3,0,5,12,5,4,4,3,,,2,4,3,5,2,,,4,4,5,3,3,4,83,2,3.5833333333333335,Выше среднего,"Русский язык, Обществознание","Информатика, География"
97,5,Ж,4,5,3,12,4,3,3,3,,,2,3,5,3,5,,,4,5,5,3,5,5,85,3,3.75,Выше среднего,"Всеобщая история, География, Основы безопасности жизнедеятельности, Физическая культура",Информатика
98,5,Ж,9,5,3,12,4,5,4,2,,,2,3,2,4,5,,,2,4,2,5,3,3,95,2,3.5,Нуждается в улучшении,"Литература, География, Технология","Информатика, Всеобщая история, Биология"
99,5,Ж,10,3,4,12,5,4,5,3,,,5,4,2,3,3,,,4,4,3,4,3,5,88,3,3.9166666666666665,Выше среднего,"Русский язык, Иностранный язык, Информатика, Физическая культура",Всеобщая история
100,5,М,6,3,3,13,4,4,5,2,,,4,2,3,3,3,,,4,2,3,3,5,4,96,2,3.6666666666666665,Выше среднего,"Иностранный язык, Основы безопасности жизнедеятельности",История России
101,5,М,2,3,3,12,3,3,5,4,,,5,3,5,5,5,,,3,5,5,3,2,4,87,1,3.8333333333333335,Выше среднего,"Иностранный язык, Информатика, Всеобщая история, Обществознание, География",Основы безопасности жизнедеятельности
102,5,Ж,7,0,2,13,3,2,4,3,,,3,4,4,2,5,,,3,3,4,4,4,2,86,4,3.3333333333333335,Нуждается в улучшении,География,"Литература, Обществознание, Физическая культура"
103,5,Ж,2,3,1,13,4,4,5,3,,,3,5,2,3,2,,,3,5,5,3,3,4,67,4,3.4166666666666665,Нуждается в улучшении,"Иностранный язык, История России","Всеобщая история, География"
104,5,Ж,2,0,4,13,4,4,4,5,,,4,3,5,3,3,,,2,2,5,4,5,2,92,1,3.5833333333333335,Выше среднего,"Всеобщая история, Основы безопасности жизнедеятельности","Биология, Физическая культура"
105,5,Ж,1,3,4,12,3,2,5,4,,,4,3,4,3,4,,,3,5,5,3,5,3,89,1,3.5,Нуждается в улучшении,"Иностранный язык, Основы безопасности жизнедеятельности",Литература
106,5,Ж,3,4,4,12,3,5,4,3,,,4,5,5,5,3,,,2,4,3,3,2,2,78,5,3.5833333333333335,Выше среднего,"Литература, История России, Всеобщая история, Обществознание","Биология, Основы безопасности жизнедеятельности, Физическая культура"
107,5,Ж,6,5,2,12,5,5,4,4,,,3,4,3,4,4,,,3,2,3,4,5,5,61,2,4.083333333333333,Выше среднего,"Русский язык, Литература, Основы безопасности жизнедеятельности, Физическая культура",
108,5,Ж,8,3,3,13,2,4,3,3,,,2,5,2,2,5,,,4,5,3,4,3,4,67,4,3.3333333333333335,Нуждается в улучшении,"История России, География","Русский язык, Информатика, Всеобщая история, Обществознание"
109,5,Ж,9,1,1,12,3,5,4,2,,,2,3,4,4,3,,,5,2,3,2,2,5,80,5,3.5,Нуждается в улучшении,"Литература, Биология, Физическая культура","Информатика, Технология, Основы безопасности жизнедеятельности"
110,5,М,7,5,5,12,2,3,2,2,,,4,3,5,4,5,,,4,4,3,5,4,4,64,4,3.75,Выше среднего,"Всеобщая история, География, Технология","Русский язык, Иностранный язык"
111,5,Ж,4,5,3,13,5,2,5,5,,,4,5,4,2,4,,,4,5,5,2,4,5,89,1,3.8333333333333335,Выше среднего,"Русский язык, Иностранный язык, История России, Физическая культура","Литература, Обществознание, Технология"
112,5,М,6,3,2,13,2,2,4,4,,,5,3,4,5,2,,,3,3,2,2,4,5,79,5,3.4166666666666665,Нуждается в улучшении,"Информатика, Обществознание, Физическая культура","Русский язык, Литература, География, Технология"
113,5,Ж,5,2,3,13,4,4,5,5,,,3,4,5,3,4,,,2,3,4,4,4,3,85,5,3.75,Выше среднего,"Иностранный язык, Всеобщая история",Биология
114,5,Ж,8,3,3,13,2,2,2,5,,,5,3,3,5,4,,,3,4,5,4,4,3,77,5,3.3333333333333335,Нуждается в улучшении,"Информатика, Обществознание","Русский язык, Литература, Иностранный язык"
115,5,М,1,5,2,13,4,5,3,5,,,3,4,4,3,3,,,4,4,2,2,5,4,64,2,3.6666666666666665,Выше среднего,"Литература, Основы безопасности жизнедеятельности",Технология
116,5,Ж,1,1,4,13,5,2,5,4,,,2,5,3,3,3,,,4,5,2,4,5,2,92,5,3.5833333333333335,Выше среднего,"Русский язык, Иностранный язык, История России, Основы безопасности жизнедеятельности","Литература, Информатика, Физическая культура"
117,5,М,6,5,4,12,3,3,3,4,,,5,4,2,2,4,,,5,5,3,2,4,5,82,4,3.5,Нуждается в улучшении,"Информатика, Биология, Физическая культура","Всеобщая история, Обществознание, Технология"
118,5,Ж,10,1,1,13,4,5,4,3,,,4,5,3,2,4,,,3,3,3,5,3,3,51,2,3.75,Выше среднего,"Литература, История России, Технология",Обществознание
119,5,Ж,2,0,1,12,3,3,5,2,,,4,3,5,5,5,,,3,5,4,4,5,4,57,4,4.083333333333333,Выше среднего,"Иностранный язык, Всеобщая история, Обществознание, География, Основы безопасности жизнедеятельности",
120,5,М,5,4,4,12,3,3,4,4,,,4,5,5,2,5,,,4,5,4,3,4,5,97,5,3.9166666666666665,Выше среднего,"История России, Всеобщая история, География, Физическая культура",Обществознание
121,5,Ж,1,5,5,12,5,4,3,4,,,3,3,3,2,3,,,4,3,4,3,5,3,82,5,3.4166666666666665,Нуждается в улучшении,"Русский язык, Основы безопасности жизнедеятельности",Обществознание
122,5,М,7,3,3,13,3,3,5,5,,,4,2,3,5,5,,,3,2,3,4,2,3,84,4,3.5,Нуждается в улучшении,"Иностранный язык, Обществознание, География","История России, Основы безопасности жизнедеятельности"
123,5,Ж,1,0,5,12,4,3,2,3,,,5,3,2,4,2,,,4,3,4,4,4,2,67,3,3.25,Нуждается в улучшении,Информатика,"Иностранный язык, Всеобщая история, География, Физическая культура"
124,5,М,4,4,3,13,3,3,5,4,,,3,4,5,2,2,,,3,5,4,5,5,4,75,5,3.6666666666666665,Выше среднего,"Иностранный язык, Всеобщая история, Технология, Основы безопасности жизнедеятельности","Обществознание, География"
125,5,М,9,3,4,13,3,4,2,4,,,4,5,4,5,3,,,4,3,2,5,4,2,97,5,3.75,Выше среднего,"История России, Обществознание, Технология","Иностранный язык, Физическая культура"
126,5,Ж,1,2,1,12,3,5,4,3,,,5,4,5,2,4,,,3,5,3,3,4,4,70,2,3.8333333333333335,Выше среднего,"Литература, Информатика, Всеобщая история",Обществознание
127,5,Ж,4,3,1,13,4,5,2,4,,,3,4,5,5,3,,,4,5,5,5,5,4,77,4,4.083333333333333,Выше среднего,"Литература, Всеобщая история, Обществознание, Технология, Основы безопасности жизнедеятельности",Иностранный язык
128,5,М,6,1,5,12,4,3,4,4,,,3,5,3,2,3,,,5,2,3,4,4,4,69,5,3.6666666666666665,Выше среднего,"История России, Биология",Обществознание
129,5,Ж,6,1,1,12,4,3,2,4,,,2,5,2,4,3,,,5,4,5,4,4,3,94,4,3.4166666666666665,Нуждается в улучшении,"История России, Биология","Иностранный язык, Информатика, Всеобщая история"
130,5,Ж,8,2,4,13,3,4,5,4,,,4,4,4,4,3,,,5,3,3,4,2,3,69,2,3.75,Выше среднего,"Иностранный язык, Биология",Основы безопасности жизнедеятельности
131,5,Ж,1,0,5,12,2,5,4,3,,,5,5,2,3,5,,,4,3,2,2,4,4,53,4,3.75,Выше среднего,"Литература, Информатика, История России, География","Русский язык, Всеобщая история, Технология"
132,5,М,7,4,3,12,5,3,2,4,,,4,4,2,4,5,,,4,4,4,3,3,3,85,4,3.5,Нуждается в улучшении,"Русский язык, География","Иностранный язык, Всеобщая история"
133,5,М,1,3,1,12,5,3,4,4,,,3,2,3,4,4,,,3,4,5,5,2,5,83,2,3.5833333333333335,Выше среднего,"Русский язык, Технология, Физическая культура","История России, Основы безопасности жизнедеятельности"
