ID,Класс,Пол,Уровень тревожности (1-10),Пропуски занятий,Оценка отношений с учителями (1-5),Возраст,Предмет_1,Оценка_1,Предмет_2,Оценка_2,Предмет_3,Оценка_3,Предмет_4,Оценка_4,Предмет_5,Оценка_5,Предмет_6,Оценка_6,Предмет_7,Оценка_7,Предмет_8,Оценка_8,Предмет_9,Оценка_9,Предмет_10,Оценка_10,Предмет_11,Оценка_11,Предмет_12,Оценка_12,Предмет_13,Оценка_13,Предмет_14,Оценка_14,Предмет_15,Оценка_15,Предмет_16,Оценка_16,Когнитивные способности,Результаты анкет,Средний балл,Диагностика профиля способностей и достижений,Сильные стороны,Слабые стороны,Cluster,Прогнозные значения
50,7,М,1,3,5,15,Русский язык,5,Литература,2,Иностранный язык,4,Алгебра,4,Геометрия,3,Информатика,4,История России,5,Всеобщая история,5,Обществознание,5,География,4,Физика,2,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,4,77,3,3.933333333333333,Выше среднего,"Русский язык, История России, Всеобщая история, Обществознание, Технология","Литература, Физика",2,3.35
51,7,М,6,5,5,15,Русский язык,5,Литература,3,Иностранный язык,2,Алгебра,4,Геометрия,4,Информатика,2,История России,5,Всеобщая история,2,Обществознание,3,География,4,Физика,4,Музыка,5,Биология,4,Технология,4,Основы безопасности жизнедеятельности,4,Физическая культура,3,70,2,3.533333333333333,Выше среднего,"Русский язык, История России","Иностранный язык, Информатика, Всеобщая история",2,4.61
52,7,Ж,9,2,3,15,Русский язык,5,Литература,2,Иностранный язык,2,Алгебра,5,Геометрия,3,Информатика,3,История России,5,Всеобщая история,2,Обществознание,4,География,3,Физика,3,Музыка,4,Биология,3,Технология,4,Основы безопасности жизнедеятельности,3,Физическая культура,5,60,4,3.466666666666667,Нуждается в улучшении,"Русский язык, Алгебра, История России, Физическая культура","Литература, Иностранный язык, Всеобщая история",2,2.97
53,7,М,8,4,3,14,Русский язык,2,Литература,4,Иностранный язык,5,Алгебра,3,Геометрия,4,Информатика,3,История России,5,Всеобщая история,4,Обществознание,4,География,3,Физика,5,Музыка,4,Биология,5,Технология,3,Основы безопасности жизнедеятельности,2,Физическая культура,5,69,5,3.8,Выше среднего,"Иностранный язык, История России, Физика, Биология, Физическая культура","Русский язык, Основы безопасности жизнедеятельности",3,3.29
54,7,М,6,1,2,15,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,4,Геометрия,5,Информатика,3,История России,2,Всеобщая история,4,Обществознание,3,География,2,Физика,2,Музыка,5,Биология,3,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,4,85,1,3.6666666666666665,Выше среднего,"Русский язык, Литература, Геометрия, Технология","История России, География, Физика",2,2.65
55,7,Ж,3,4,2,14,Русский язык,5,Литература,5,Иностранный язык,4,Алгебра,5,Геометрия,5,Информатика,4,История России,4,Всеобщая история,3,Обществознание,5,География,4,Физика,5,Музыка,3,Биология,5,Технология,2,Основы безопасности жизнедеятельности,5,Физическая культура,3,68,1,4.266666666666667,Выше среднего,"Русский язык, Литература, Алгебра, Геометрия, Обществознание, Физика, Биология, Основы безопасности жизнедеятельности",Технология,3,2.69
56,7,М,8,5,5,14,Русский язык,3,Литература,4,Иностранный язык,5,Алгебра,5,Геометрия,3,Информатика,4,История России,3,Всеобщая история,4,Обществознание,3,География,5,Физика,3,Музыка,2,Биология,2,Технология,4,Основы безопасности жизнедеятельности,2,Физическая культура,4,59,1,3.6,Выше среднего,"Иностранный язык, Алгебра, География","Биология, Основы безопасности жизнедеятельности",1,4.35
57,7,М,9,2,3,14,Русский язык,2,Литература,4,Иностранный язык,4,Алгебра,4,Геометрия,5,Информатика,3,История России,4,Всеобщая история,5,Обществознание,3,География,2,Физика,5,Музыка,3,Биология,5,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,3,64,4,3.933333333333333,Выше среднего,"Геометрия, Всеобщая история, Физика, Биология, Технология, Основы безопасности жизнедеятельности","Русский язык, География",3,2.91
58,7,М,1,5,1,14,Русский язык,3,Литература,4,Иностранный язык,5,Алгебра,5,Геометрия,2,Информатика,4,История России,5,Всеобщая история,3,Обществознание,3,География,4,Физика,2,Музыка,4,Биология,4,Технология,2,Основы безопасности жизнедеятельности,3,Физическая культура,5,94,5,3.6,Выше среднего,"Иностранный язык, Алгебра, История России, Физическая культура","Геометрия, Физика, Технология",3,2.08
59,7,Ж,9,1,4,14,Русский язык,5,Литература,2,Иностранный язык,4,Алгебра,4,Геометрия,4,Информатика,2,История России,2,Всеобщая история,3,Обществознание,4,География,5,Физика,5,Музыка,3,Биология,2,Технология,5,Основы безопасности жизнедеятельности,5,Физическая культура,4,94,2,3.733333333333333,Выше среднего,"Русский язык, География, Физика, Технология, Основы безопасности жизнедеятельности","Литература, Информатика, История России, Биология",0,3.56
60,7,Ж,6,0,3,14,Русский язык,4,Литература,3,Иностранный язык,3,Алгебра,3,Геометрия,2,Информатика,5,История России,4,Всеобщая история,3,Обществознание,4,География,3,Физика,2,Музыка,3,Биология,3,Технология,5,Основы безопасности жизнедеятельности,3,Физическая культура,2,67,2,3.2666666666666666,Нуждается в улучшении,"Информатика, Технология","Геометрия, Физика, Физическая культура",0,3.38
61,7,Ж,6,0,3,14,Русский язык,3,Литература,3,Иностранный язык,3,Алгебра,4,Геометрия,3,Информатика,2,История России,4,Всеобщая история,4,Обществознание,3,География,3,Физика,5,Музыка,2,Биология,3,Технология,5,Основы безопасности жизнедеятельности,4,Физическая культура,4,56,4,3.533333333333333,Выше среднего,"Физика, Технология",Информатика,2,3.11
62,7,М,4,5,2,14,Русский язык,3,Литература,5,Иностранный язык,4,Алгебра,2,Геометрия,5,Информатика,5,История России,3,Всеобщая история,3,Обществознание,4,География,3,Физика,4,Музыка,3,Биология,5,Технология,4,Основы безопасности жизнедеятельности,5,Физическая культура,5,79,5,4.0,Выше среднего,"Литература, Геометрия, Информатика, Биология, Основы безопасности жизнедеятельности, Физическая культура",Алгебра,0,2.63
63,7,М,1,3,4,15,Русский язык,3,Литература,5,Иностранный язык,3,Алгебра,3,Геометрия,3,Информатика,4,История России,3,Всеобщая история,5,Обществознание,3,География,3,Физика,3,Музыка,3,Биология,4,Технология,3,Основы безопасности жизнедеятельности,4,Физическая культура,3,63,3,3.466666666666667,Нуждается в улучшении,"Литература, Всеобщая история",,1,3.62
64,7,Ж,10,2,5,15,Русский язык,4,Литература,4,Иностранный язык,3,Алгебра,4,Геометрия,5,Информатика,4,История России,2,Всеобщая история,4,Обществознание,5,География,2,Физика,3,Музыка,3,Биология,3,Технология,4,Основы безопасности жизнедеятельности,5,Физическая культура,2,86,3,3.6,Выше среднего,"Геометрия, Обществознание, Основы безопасности жизнедеятельности","История России, География, Физическая культура",1,2.53
